Date,GIV00907136,GIV00907156,GIV00907176,GIV00907196,GIV00907216,GIV00907236,GIV00907276,GIV00907296,GIV00907316,GIV00907336,GIV00907356,GIV00907376,GIV00907396,GIV00907416,GIV00907436,GIV00907456,GIV00907476,GIV00907496,GIV00907516,GIV00907536,GIV00907556,GIV00907576,GIV00907596
02/08/2017,17.18084296,17.91265201,18.31850271,19.52361437,20.96048678,23.01045906,31.67073934,41.22629799,49.90485215,56.4184871,60.57301482,63.32556365,65.27795388,66.47204448,66.58432933,65.75325965,65.36035321,64.3615262,60.21250382,57.59991102,54.06843118,51.37340659,49.66734644
02/07/2017,17.15677948,17.86868845,18.31850271,19.51220062,20.9379651,22.98843363,31.64390566,41.14917997,49.90485215,56.40547686,60.56437949,63.31978843,65.26434427,66.47204448,66.58432933,65.75429431,65.36146891,64.3615262,60.21250382,57.60595421,54.0691706,51.3738918,49.66721684
02/06/2017,17.13271294,17.85401365,18.31850271,19.51220062,20.91543881,22.96640211,31.61706721,41.12347162,49.90485215,56.40547686,60.5557429,63.31401273,65.2598068,66.46869527,66.58432933,65.75532872,65.3625844,64.36831844,60.21654875,57.60796857,54.06991002,51.374377,49.66721684
02/03/2017,17.06049534,17.80529844,18.24662999,19.46644661,20.84783252,22.9443645,31.56337607,41.04633955,49.80165632,56.35342134,60.52982546,63.30823654,65.24619154,66.4653422,66.58970946,65.7563629,65.36481476,64.37510958,60.22059317,57.61401151,54.07138883,51.37486219,49.66669845
02/02/2017,17.03641694,17.80529844,18.23222379,19.45498337,20.82528801,22.87821533,31.56337607,41.04633955,49.78101234,56.34040381,60.52118377,63.2909051,65.24619154,66.46422365,66.59078456,65.75946397,65.36481476,64.37737304,60.22194119,57.61401151,54.07138883,51.37631776,49.66656886
02/01/2017,17.01233566,17.80529844,18.23222379,19.44351023,20.802739,22.85615353,31.48280389,41.04633955,49.76036676,56.32738484,60.5125408,63.28512698,65.24619154,66.46422365,66.59185936,65.76049718,65.36815879,64.37737304,60.22194119,57.61401151,54.07360702,51.37680295,49.66643926
31/01/2017,16.98825155,17.73337346,18.23222379,19.43202721,20.78018549,22.83408572,31.45593708,40.96919701,49.76036676,56.3143644,60.50389655,63.27934839,65.23257204,66.46422365,66.59185936,65.76153014,65.36927306,64.37737304,60.22194119,57.62005427,54.07434641,51.37728813,49.66630966
30/01/2017,16.98825155,17.70939053,18.23222379,19.43202721,20.75762751,22.81201191,31.42906559,40.94348052,49.76036676,56.3143644,60.49525103,63.27356932,65.22803126,66.46086543,66.59185936,65.76256287,65.37038713,64.38416271,60.22598492,57.62206848,54.07508579,51.37777331,49.66630966
27/01/2017,16.96416465,17.63741849,18.16003527,19.38599631,20.68992693,22.78993211,31.37530858,40.86632412,49.65711489,56.26226811,60.4693068,63.26778976,65.2144061,66.45750333,66.59722871,65.76359535,65.37261465,64.39095126,60.23002813,57.62811099,54.07656454,51.37825848,49.66579127
26/01/2017,16.96416465,17.63741849,18.14556616,19.3744639,20.66735125,22.72365696,31.37530858,40.86632412,49.63645972,56.24924039,60.46065616,63.25044821,65.2144061,66.45638177,66.59830165,65.76669134,65.37261465,64.39321387,60.23137575,57.62811099,54.07656454,51.37971398,49.66566167
25/01/2017,16.96416465,17.63741849,18.13108663,19.36292161,20.6447712,22.70155337,31.29463819,40.86632412,49.61580296,56.23621122,60.45200425,63.24466673,65.2144061,66.45638177,66.59937429,65.76772285,65.3759544,64.39321387,60.23137575,57.62811099,54.07878263,51.38019914,49.66553208
24/01/2017,16.89188754,17.56541228,18.11659667,19.35136947,20.62218679,22.67944387,31.26773881,40.7891574,49.61580296,56.22318059,60.44335105,63.23888476,65.2007767,66.45638177,66.59937429,65.76875412,65.37706725,64.39321387,60.23137575,57.6341533,54.07952199,51.3806843,49.66540248
23/01/2017,16.86778983,17.54140279,18.11659667,19.35136947,20.59959804,22.65732846,31.24083481,40.76343287,49.61580296,56.22318059,60.43469658,63.23310232,65.19623262,66.4530145,66.59937429,65.76978514,65.37817988,64.40000095,60.23541826,57.63616737,54.08026134,51.38116946,49.66540248
20/01/2017,16.79548121,17.46935257,18.05853297,19.30506229,20.53180596,22.63520718,31.18701304,40.68625247,49.51249528,56.17104351,60.40872547,63.22731939,65.18259756,66.44964335,66.60473284,65.77081592,65.38040455,64.40678693,60.23946026,57.64220944,54.08174002,51.38165461,49.66488409
19/01/2017,16.79548121,17.46935257,18.04399115,19.29346086,20.50920005,22.56880817,31.18701304,40.68625247,49.49182898,56.1580056,60.40006587,63.20996773,65.18259756,66.44851877,66.60580362,65.77390681,65.38040455,64.40904867,60.24080747,57.64220944,54.08174002,51.38311004,49.66475449
18/01/2017,16.79548121,17.46935257,18.02943901,19.2818496,20.4865899,22.5466635,31.1062461,40.68625247,49.47116108,56.14496623,60.39140499,63.20418287,65.18259756,66.44851877,66.60687409,65.77493662,65.38374,64.40904867,60.24080747,57.64220944,54.08395801,51.38359518,49.6646249
17/01/2017,16.72315017,17.39727048,18.02943901,19.27022849,20.46397552,22.52451301,31.0793147,40.60906188,49.47116108,56.1319254,60.38274282,63.19839754,65.16895824,66.44851877,66.60687409,65.77596619,65.38485141,64.40904867,60.24080747,57.64825132,54.08469734,51.38408031,49.6644953
16/01/2017,16.69903502,17.37323621,18.02943901,19.27022849,20.44135695,22.50235674,31.05237876,40.58332943,49.47116108,56.1319254,60.37407937,63.19261172,65.16441086,66.44514245,66.60687409,65.77699551,65.38596262,64.41583316,60.24484877,57.65026524,54.08543665,51.38456545,49.6644953
13/01/2017,16.62667568,17.30111318,17.95652395,19.22364575,20.3734762,22.48019468,30.99849334,40.50612535,49.36779784,56.07974754,60.34808132,63.18682543,65.15076588,66.44176223,66.61222181,65.77802459,65.38818441,64.42261654,60.24888955,57.65630687,54.08691527,51.38505057,49.66397691
01/12/2017,16.62667568,17.30111318,17.94191018,19.21197551,20.35084101,22.41367398,30.99849334,40.50612535,49.34712044,56.06669943,60.33941273,63.16946365,65.15076588,66.44063462,66.61329042,65.78111037,65.38818441,64.42487742,60.25023636,57.65630687,54.08691527,51.38650594,49.66384731
01/11/2017,16.62667568,17.30111318,17.9272862,19.20029545,20.32820171,22.39148896,30.91763155,40.50612535,49.32644146,56.05364986,60.33074285,63.16367542,65.15076588,66.44063462,66.61435872,65.78213847,65.39151556,64.42487742,60.25023636,57.65630687,54.08913317,51.38699105,49.66371771
01/10/2017,16.55429633,17.2289606,17.91265201,19.18860559,20.30555833,22.36929823,30.89066868,40.42891123,49.32644146,56.04059884,60.32207169,63.15788672,65.13711665,66.44063462,66.61435872,65.78316633,65.39262553,64.42487742,60.25023636,57.66234831,54.08987245,51.38747617,49.66358812
01/09/2017,16.53016562,17.20490335,17.91265201,19.18860559,20.28291088,22.34710181,30.86370137,40.40317096,49.32644146,56.04059884,60.31339924,63.15209753,65.13256596,66.43724921,66.61435872,65.78419394,65.3937353,64.43165932,60.25427643,57.66436209,54.09061174,51.38796128,49.66358812
01/06/2017,16.45776122,17.13271294,17.85401365,19.14174812,20.21494435,22.32489972,30.80975345,40.32594353,49.22302289,55.98838018,60.28737415,63.14630786,65.11891105,66.43385991,66.61969558,65.78522131,65.39595421,64.4384401,60.25831599,57.67040328,54.09209029,51.38844638,49.66306973
